epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
75,0.5184,0.7337,0.869,0.8722,0.8051,0.8096,1.5e-05,2.0
76,0.5147,0.7319,0.8677,0.8678,0.8028,0.8084,1.47e-05,2.0
77,0.5479,0.8322,0.8661,0.8693,0.8007,0.8058,1.44e-05,2.0
78,0.5143,0.7141,0.8717,0.8763,0.8087,0.8154,1.41e-05,2.0
79,0.532,0.7274,0.8727,0.878,0.8103,0.8169,1.37e-05,2.0
80,0.5172,0.7378,0.8741,0.8789,0.8124,0.8193,1.34e-05,2.0
81,0.4964,0.6903,0.8703,0.8749,0.807,0.813,1.31e-05,2.9
82,0.5244,0.6949,0.8701,0.8745,0.8065,0.8125,1.28e-05,2.0
83,0.4955,0.7193,0.8671,0.8699,0.8022,0.8082,1.25e-05,2.0
84,0.5016,0.692,0.8671,0.8684,0.8021,0.809,1.22e-05,2.0
85,0.504,0.7472,0.8693,0.872,0.8053,0.812,1.19e-05,2.0
86,0.5054,0.6865,0.8671,0.8697,0.8022,0.8084,1.16e-05,2.9
87,0.5422,0.6978,0.8706,0.8755,0.8073,0.8145,1.13e-05,2.0
88,0.4962,0.6888,0.8717,0.8766,0.8089,0.8152,1.1e-05,2.0
89,0.5117,0.6824,0.8677,0.8704,0.8029,0.8105,1.07e-05,3.1
90,0.5222,0.6864,0.8743,0.8808,0.813,0.819,1.04e-05,2.0
91,0.5125,0.6604,0.8714,0.8752,0.8085,0.8145,1.01e-05,2.9
92,0.5353,0.7048,0.8709,0.8754,0.8077,0.8143,9.77e-06,2.0
93,0.4822,0.7157,0.8677,0.8697,0.8029,0.8093,9.48e-06,2.0
94,0.4964,0.6818,0.8695,0.8726,0.8057,0.8127,9.19e-06,2.0
95,0.5042,0.7166,0.8703,0.875,0.8069,0.8144,8.9e-06,2.0
96,0.4922,0.7068,0.869,0.872,0.8048,0.8128,8.61e-06,2.0
97,0.4972,0.6823,0.8706,0.8746,0.8073,0.8139,8.33e-06,2.0
98,0.4988,0.7195,0.8709,0.8754,0.8077,0.815,8.05e-06,2.0
99,0.4927,0.6737,0.8711,0.8745,0.8081,0.8141,7.77e-06,2.0
100,0.5161,0.687,0.8695,0.8734,0.8056,0.8132,7.5e-06,2.0
101,0.4973,0.7049,0.8719,0.8778,0.8094,0.8158,7.23e-06,2.0
